,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_0,count_topic_2,count_topic_4,topic_0,topic_2,topic_4,count_topic_3,count_topic_1,topic_3,topic_1
80,hhobillion,2023-06-01,PostCovid,4,,[],,,,,,,,,,
81,mary Y,2023-06-01,PostCovid,4,,"[[place, good, 0], [place, easi, 0]]",2.0,,,0.35,,,,,,
82,Vicky M,2023-06-01,PostCovid,4,,"[[room, toiletri, 2], [room, coffe, 2], [day, last, 4]]",,2.0,1.0,,0.0,0.0,,,,
83,DayTrip30622388767,2023-06-01,PostCovid,4,,[],,,,,,,,,,
84,Annon9999999009,2023-06-01,PostCovid,4,,[],,,,,,,,,,
85,YK_Goh,2023-06-01,PostCovid,4,,"[[bed, good, 3]]",,,,,,,1.0,,0.7,
86,Suzanne N,2023-06-01,PostCovid,4,,[],,,,,,,,,,
87,tanchinhuat2023,2023-06-01,PostCovid,4,,"[[time, long, 1]]",,,,,,,,1.0,,-0.05
88,nidris760660,2023-06-01,PostCovid,4,,"[[hotel, short, 0], [food, local, 0], [time, everi, 1]]",2.0,,,0.0,,,,1.0,,0.0
89,Sisara Ranasinghe,2023-05-01,PostCovid,4,,"[[hotel, best, 0], [singapor, singapor, 0], [check, late, 4], [check, luggag, 4]]",2.0,,2.0,0.5,,-0.15,,,,
90,dmaclangv,2023-06-01,PostCovid,4,,"[[time, major, 1]]",,,,,,,,1.0,,0.0625
91,pekaiksoon,2023-06-01,PostCovid,4,,[],,,,,,,,,,
92,rs6mv9u1lv600rn1e083,2023-06-01,PostCovid,4,,"[[room, old, 2], [staff, old, 1], [staff, good, 1], [staff, nice, 1], [pool, good, 3]]",,1.0,,,0.1,,1.0,3.0,0.7,0.4666666666666666
93,SungKY,2023-06-01,PostCovid,4,,[],,,,,,,,,,
94,Sean L,2023-06-01,PostCovid,4,,[],,,,,,,,,,
95,fbap1174,2023-06-01,PostCovid,4,,[],,,,,,,,,,
96,foophangkhim,2023-06-01,PostCovid,4,,"[[use, much, 4]]",,,1.0,,,0.2,,,,
97,Khaw Han Chung,2023-06-01,PostCovid,4,3.0,"[[place, good, 0], [hotel, big, 0], [room, old, 2], [room, bad, 2]]",2.0,2.0,,0.35,-0.29999999999999993,,,,,
98,LMTravel08,2023-06-01,PostCovid,4,,"[[room, clean, 2]]",,1.0,,,0.3666666666666667,,,,,
99,Elissa R,2023-06-01,PostCovid,4,,"[[hotel, singapor, 0], [hotel, nice, 0]]",2.0,,,0.3,,,,,,
100,Sam,2023-06-01,PostCovid,4,,[],,,,,,,,,,
101,NorthStar28724919067,2023-05-01,PostCovid,4,5.0,"[[room, clean, 2], [room, bright, 2]]",,2.0,,,0.5333333333333334,,,,,
102,Gillie D,2023-06-01,PostCovid,4,,[],,,,,,,,,,
103,floradinie,2023-06-01,PostCovid,4,,"[[room, big, 2], [room, clean, 2]]",,2.0,,,0.18333333333333335,,,,,
104,delaeli0728,2023-06-01,PostCovid,4,,[],,,,,,,,,,
105,michaellhlim2023,2023-05-01,PostCovid,4,,[],,,,,,,,,,
106,4sisi,2023-06-01,PostCovid,4,,"[[restaur, local, 0]]",1.0,,,0.0,,,,,,
107,abeermujaini,2023-05-01,PostCovid,4,,"[[room, luggag, 2], [food, kind, 0], [food, indian, 0]]",2.0,1.0,,0.3,0.0,,,,,
108,yasserzayyad,2023-05-01,PostCovid,4,,"[[hotel, close, 0]]",1.0,,,0.0,,,,,,
109,oliviacnn,2023-05-01,PostCovid,4,,[],,,,,,,,,,
110,zholtayailin,2023-05-01,PostCovid,4,,"[[place, clean, 0], [place, calm, 0]]",2.0,,,0.33333333333333337,,,,,,
111,mdnb27,2023-05-01,PostCovid,4,,[],,,,,,,,,,
112,Jenny H,2023-05-01,PostCovid,4,5.0,"[[time, singapor, 1], [friendli, good, 1], [friendli, choic, 1], [bathroom, nice, 2], [pool, clean, 3], [love, local, 1], [love, local, 1]]",,1.0,,,0.6,,1.0,5.0,0.3666666666666667,0.24
113,Wanderer730510,2023-05-01,PostCovid,4,,"[[room, clean, 2]]",,1.0,,,0.3666666666666667,,,,,
114,mfadzil92,2023-05-01,PostCovid,4,,"[[floor, first, 2]]",,1.0,,,0.25,,,,,
115,Lindy A,2023-05-01,PostCovid,4,,[],,,,,,,,,,
116,chergheelee,2023-05-01,PostCovid,4,,"[[staff, soft, 1], [food, nice, 0]]",1.0,,,0.6,,,,1.0,,0.1
117,Sonali K,2023-05-01,PostCovid,4,,"[[room, good, 2]]",,1.0,,,0.7,,,,,
118,scoene725697,2023-05-01,PostCovid,4,,"[[comfort, great, 3], [stay, pleasant, 1]]",,,,,,,1.0,1.0,0.8,0.7333333333333333
119,Eunice,2023-05-01,PostCovid,4,,[],,,,,,,,,,
120,zhanglina2023,2023-05-01,PostCovid,4,,[],,,,,,,,,,
121,Karine,2023-05-01,PostCovid,4,,"[[airport, first, 3], [room, delux, 2], [room, coffe, 2], [pool, safe, 3], [pool, swim, 3]]",,2.0,,,0.0,,3.0,,0.25,
122,338swanqueen,2023-05-01,PostCovid,4,,"[[staycat, best, 1], [time, quiet, 1], [place, singapor, 0], [place, 'ever singapor', 0], [place, great, 0]]",3.0,,,0.26666666666666666,,,,2.0,,0.5
123,jasminehoek,2023-05-01,PostCovid,4,,"[[hotel, quiet, 0], [place, great, 0], [friendli, quick, 1], [help, 'far staff', 1]]",2.0,,,0.4,,,,2.0,,0.21666666666666667
124,5amcvrnayi,2023-05-01,PostCovid,4,,"[[stay, clear, 1], [room, clear, 2]]",,1.0,,,0.10000000000000002,,,1.0,,0.10000000000000002
125,GohIvan,2023-05-01,PostCovid,4,,"[[place, good, 0], [hotel, good, 0], [work, major, 2]]",2.0,1.0,,0.7,0.0625,,,,,
126,chepjonnes,2023-05-01,PostCovid,4,,[],,,,,,,,,,
127,Explorer13395980234,2023-05-01,PostCovid,4,1.0,"[[night, bad, 3], [night, experi, 3], [night, old, 3]]",,,,,,,3.0,,-0.19999999999999996,
128,Ginarose,2023-05-01,PostCovid,4,,"[[stay, overnight, 1], [stay, singapor, 1], [room, quiet, 2]]",,1.0,,,0.0,,,2.0,,0.0
129,Eastie_59,2023-05-01,PostCovid,4,,[],,,,,,,,,,
130,rs6lq9u1jo7ccvy1641b,2023-04-01,PostCovid,4,,"[[pool, local, 3], [pool, eateri, 3], [pool, great, 3], [famili, great, 1]]",,,,,,,3.0,1.0,0.26666666666666666,0.8
131,mgcabrega,2023-05-01,PostCovid,4,,"[[staff, great, 1]]",,,,,,,,1.0,,0.8
132,Peter K,2023-04-01,PostCovid,4,,"[[day, last, 4], [room, spare, 2], [walk, quick, 0]]",1.0,1.0,1.0,0.3333333333333333,0.0,0.0,,,,
133,Sahil11940783,2023-04-01,PostCovid,4,,"[[stay, free, 1], [staff, total, 1]]",,,,,,,,2.0,,0.2
