,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_0,count_topic_2,count_topic_4,topic_0,topic_2,topic_4,count_topic_3,count_topic_1,topic_3,topic_1
17156,princessbuttercup66,2017-03-01,PreCovid,4,4.0,"[[bed, super, 3], [room, new, 2], [breakfast, good, 3], [flight, morn, 4]]",,1.0,1.0,,0.13636363636363635,0.0,2.0,,0.5166666666666666,
17157,traveller973,2017-03-01,PreCovid,4,3.0,"[[room, better, 2], [room, 'much better', 2], [howev, modern, 2], [time, much, 1], [airport, nice, 3]]",,3.0,,,0.39999999999999997,,1.0,1.0,0.6,0.2
17158,tankd,2017-03-01,PreCovid,4,3.0,"[[book, whole, 4], [book, decent, 4], [airport, weird, 3], [place, great, 0], [book, singapor, 4]]",1.0,,3.0,0.8,,0.12222222222222223,1.0,,-0.5,
17159,GVBDUD,2016-11-01,PreCovid,4,4.0,"[[stay, good, 1]]",,,,,,,,1.0,,0.7
17160,Suhaimi M,2017-03-01,PreCovid,4,1.0,"[[pool, hot, 3], [room, open, 2]]",,1.0,,,0.0,,1.0,,0.25,
17161,Clairehl,2017-02-01,PreCovid,4,2.0,"[[hour, next, 4], [hour, morn, 4], [hour, half, 4]]",,,3.0,,,-0.05555555555555555,,,,
17162,Ronald T,2017-03-01,PreCovid,4,2.0,[],,,,,,,,,,
17163,myclehoo,2017-03-01,PreCovid,4,2.0,[],,,,,,,,,,
17164,LindaSkip,2017-03-01,PreCovid,4,1.0,"[[shower, cold, 2], [hour, cheap, 4]]",,1.0,1.0,,-0.6,0.4,,,,
17165,GerardNewYork,2017-03-01,PreCovid,4,4.0,"[[conveni, super, 3], [help, nice, 1], [help, 'super nice', 1]]",,,,,,,1.0,2.0,0.3333333333333333,0.5333333333333333
17166,maisvenus,2017-03-01,PreCovid,4,5.0,"[[room, 'well appoint', 2]]",,1.0,,,0.0,,,,,
17167,Austin720,2017-03-01,PreCovid,4,5.0,"[[place, great, 0], [room, pleasant, 2], [pool, tub, 3], [use, wrong, 4]]",1.0,1.0,1.0,0.8,0.7333333333333333,-0.5,1.0,,0.0,
17168,Christopher G,2017-03-01,PreCovid,4,5.0,"[[time, first, 1], [stay, previous, 1]]",,,,,,,,2.0,,0.04166666666666667
17169,Michael S,2016-04-01,PreCovid,4,5.0,[],,,,,,,,,,
17170,Roy G,2017-03-01,PreCovid,4,4.0,"[[place, great, 0], [room, clean, 2], [room, next, 2], [room, long, 2], [check, much, 4], [check, nois, 4], [earli, good, 4], [time, sever, 1]]",1.0,3.0,3.0,0.8,0.10555555555555557,0.3,,1.0,,0.0
17171,dirtsajane,2017-03-01,PreCovid,4,1.0,"[[book, notic, 4]]",,,1.0,,,0.0,,,,
17172,Her Royal H,2016-12-01,PreCovid,4,5.0,"[[pool, outdoor, 3], [airport, oblig, 3]]",,,,,,,2.0,,0.0,
17173,A-Man90,2016-12-01,PreCovid,4,5.0,"[[airport, insid, 3], [room, nice, 2], [room, big, 2], [room, tub, 2], [excel, singapor, 1], [airport, next, 3], [airport, 'right next', 3]]",,3.0,,,0.19999999999999998,,3.0,1.0,0.047619047619047616,0.0
17174,Anj C,2017-03-01,PreCovid,4,4.0,"[[bed, extra, 3], [restaur, straight, 0]]",1.0,,,0.2,,,1.0,,0.0,
17175,glassyraven,2017-02-01,PreCovid,4,5.0,"[[flight, 'well appoint', 4], [day, next, 4]]",,,2.0,,,0.0,,,,
17176,DianaHaynes,2017-02-01,PreCovid,4,5.0,"[[room, luggag, 2]]",,1.0,,,0.0,,,,,
17177,Slava K,2017-03-01,PreCovid,4,5.0,"[[staff, nice, 1]]",,,,,,,,1.0,,0.6
17178,Margaret V,2017-02-01,PreCovid,4,5.0,[],,,,,,,,,,
17179,jayne b,2017-02-01,PreCovid,4,5.0,"[[termin, easi, 3], [friendli, quick, 1]]",,,,,,,1.0,1.0,0.0,0.3333333333333333
17180,A380ManchesterUK,2016-12-01,PreCovid,4,5.0,"[[day, last, 4], [excel, nice, 1], [day, cheaper, 4]]",,,2.0,,,0.0,,1.0,,0.6
17181,Venetia020,2017-02-01,PreCovid,4,5.0,"[[room, much, 2], [pool, central, 3]]",,1.0,,,0.2,,1.0,,0.0,
17182,Steve M,2017-03-01,PreCovid,4,3.0,"[[room, alloc, 2], [room, standard, 2], [work, corridor, 2], [day, hot, 4], [time, higher, 1], [room, unpack, 2], [room, nice, 2], [floor, earlier, 2], [floor, 'better earlier', 2], [floor, 'much earlier', 2], [floor, higher, 2], [staff, good, 1]]",,9.0,1.0,,0.12222222222222223,0.25,,2.0,,0.475
17183,Smurfette26,2017-03-01,PreCovid,4,3.0,"[[flight, morn, 4], [day, next, 4]]",,,2.0,,,0.0,,,,
17184,Ryan M,2017-02-01,PreCovid,4,5.0,"[[flight, late, 4], [night, late, 3], [stay, singapor, 1], [day, full, 4], [flight, next, 4]]",,,3.0,,,0.016666666666666663,1.0,1.0,-0.3,0.0
17185,williamjc62,2017-03-01,PreCovid,4,4.0,"[[flight, long, 4], [room, big, 2], [bed, big, 3], [bed, spare, 3], [use, late, 4], [food, servic, 0], [room, good, 2]]",1.0,2.0,2.0,0.0,0.35,-0.175,2.0,,0.0,
17186,thebeerdude,2017-02-01,PreCovid,4,5.0,"[[stay, great, 1], [room, free, 2], [food, fast, 0], [hour, open, 4]]",1.0,1.0,1.0,0.2,0.4,0.0,,1.0,,0.8
17187,Bec R,2017-03-01,PreCovid,4,5.0,"[[day, long, 4], [room, voucher, 2], [room, crisp, 2], [room, standard, 2], [breakfast, best, 3], [time, singapor, 1], [time, short, 1]]",,3.0,1.0,,0.08333333333333333,-0.05,1.0,2.0,1.0,0.0
17188,garry r,2017-03-01,PreCovid,4,5.0,"[[hotel, great, 0], [help, great, 1], [bed, great, 3], [bed, clean, 3]]",1.0,,,0.8,,,2.0,1.0,0.5833333333333334,0.8
17189,LCG1984,2016-12-01,PreCovid,4,5.0,[],,,,,,,,,,
17190,Stephanie S,2017-02-01,PreCovid,4,5.0,"[[flight, next, 4]]",,,1.0,,,0.0,,,,
17191,TravelBug,2017-03-01,PreCovid,4,4.0,"[[hour, longer, 4]]",,,1.0,,,0.0,,,,
17192,1967debbief,2017-02-01,PreCovid,4,4.0,[],,,,,,,,,,
17193,LV89052,2017-02-01,PreCovid,4,4.0,"[[hotel, great, 0], [airport, close, 3], [hotel, perfect, 0], [room, 'overnight want', 2], [hotel, close, 0]]",3.0,1.0,,0.6,0.0,,1.0,,0.0,
17194,TerryandJane,2017-02-01,PreCovid,4,5.0,[],,,,,,,,,,
17195,cajetan,2017-02-01,PreCovid,4,4.0,"[[hotel, nice, 0], [hotel, popular, 0], [room, special, 2], [pool, swim, 3]]",2.0,1.0,,0.6,0.35714285714285715,,1.0,,0.0,
17196,ilex21771,2017-02-01,PreCovid,4,5.0,"[[stay, great, 1], [staff, great, 1]]",,,,,,,,2.0,,0.8
17197,Mikhael,2017-02-01,PreCovid,4,4.0,"[[stay, short, 1], [day, next, 4], [bed, bright, 3], [hotel, morn, 0]]",1.0,,1.0,0.0,,0.0,1.0,1.0,0.7000000000000001,0.0
17198,university I,2017-02-01,PreCovid,4,4.0,"[[time, enough, 1], [room, key, 2], [bed, small, 3], [bed, smaller, 3]]",,1.0,,,0.0,,2.0,1.0,-0.125,0.0
17199,gary l,2017-02-01,PreCovid,4,4.0,"[[shop, good, 0]]",1.0,,,0.7,,,,,,
17200,Mat L,2017-02-01,PreCovid,4,2.0,[],,,,,,,,,,
17201,CGUrbanaIllinois,2017-02-01,PreCovid,4,4.0,"[[stay, notic, 1]]",,,,,,,,1.0,,0.0
17202,Was T,2017-01-01,PreCovid,4,5.0,"[[termin, great, 3], [termin, quiet, 3], [termin, right, 3], [termin, right, 3]]",,,,,,,4.0,,0.34285714285714286,
17203,roadtripswc,2016-07-01,PreCovid,4,5.0,"[[stay, great, 1], [hotel, 'due connect', 0]]",1.0,,,-0.125,,,,1.0,,0.8
17204,Josh D,2017-02-01,PreCovid,4,4.0,"[[room, quick, 2]]",,1.0,,,0.3333333333333333,,,,,
17205,phtips,2017-01-01,PreCovid,4,5.0,[],,,,,,,,,,
17206,Craig H,2017-02-01,PreCovid,4,4.0,"[[hotel, 'less excit', 0], [airport, actual, 3], [hotel, great, 0], [pool, nice, 3]]",2.0,,,0.3166666666666667,,,2.0,,0.3,
17207,Mitch C,2017-02-01,PreCovid,4,5.0,"[[night, last, 3], [room, 'late night', 2]]",,1.0,,,-0.3,,1.0,,0.0,
17208,ac d,2017-01-01,PreCovid,4,5.0,"[[room, standard, 2], [hotel, compact, 0], [hotel, ingeni, 0], [airport, close, 3], [hotel, best, 0], [hotel, 'even best', 0]]",4.0,1.0,,0.5,0.0,,1.0,,0.0,
17209,BowralBB,2017-02-01,PreCovid,4,4.0,"[[room, new, 2]]",,1.0,,,0.13636363636363635,,,,,
17210,irismac,2017-02-01,PreCovid,4,5.0,"[[airport, great, 3], [walk, first, 0], [walk, ideal, 0], [bathroom, fresh, 2]]",2.0,1.0,,0.575,0.3,,1.0,,0.8,
17211,Greg C,2017-01-01,PreCovid,4,5.0,"[[flight, late, 4], [flight, morn, 4]]",,,2.0,,,-0.15,,,,
17212,cwright1980,2016-04-01,PreCovid,4,4.0,"[[flight, late, 4], [room, qualiti, 2], [room, great, 2], [night, late, 3]]",,2.0,1.0,,0.4,-0.3,1.0,,-0.3,
17213,jfoote,2016-12-01,PreCovid,4,5.0,"[[night, extra, 3], [flight, due, 4], [restaur, best, 0], [restaur, clear, 0]]",2.0,,1.0,0.55,,-0.125,1.0,,0.0,
17214,John S,2017-02-01,PreCovid,4,4.0,"[[friendli, enough, 1], [termin, upsid, 3]]",,,,,,,1.0,1.0,0.0,0.0
17215,JRhecel,2016-03-01,PreCovid,4,4.0,"[[hotel, disturb, 0], [food, good, 0]]",2.0,,,0.35,,,,,,
17216,Alson_Teo,2016-12-01,PreCovid,4,5.0,"[[hour, full, 4], [love, overal, 1]]",,,1.0,,,0.35,,1.0,,0.5
17217,david j,2017-02-01,PreCovid,4,4.0,"[[termin, good, 3], [floor, good, 2], [room, nice, 2], [help, constant, 1], [room, differ, 2]]",,3.0,,,0.4333333333333333,,1.0,1.0,0.7,0.0
17218,DanFreemanPhoto,2017-02-01,PreCovid,4,5.0,"[[food, western, 0]]",1.0,,,0.0,,,,,,
17219,CruiseAlong,2017-02-01,PreCovid,4,1.0,"[[room, new, 2]]",,1.0,,,0.13636363636363635,,,,,
17220,gsrs,2017-02-01,PreCovid,4,4.0,[],,,,,,,,,,
17221,Marc W,2017-01-01,PreCovid,4,5.0,"[[room, 'even manag', 2]]",,1.0,,,0.0,,,,,
17222,Lawrence C,2017-02-01,PreCovid,4,4.0,"[[room, true, 2], [hour, mere, 4]]",,1.0,1.0,,0.35,-0.5,,,,
17223,Ken P,2017-02-01,PreCovid,4,4.0,"[[room, great, 2], [night, good, 3]]",,1.0,,,0.8,,1.0,,0.7,
17224,Mark B,2017-02-01,PreCovid,4,3.0,"[[room, clean, 2], [room, 'hard clean', 2], [room, good, 2]]",,3.0,,,0.3680555555555555,,,,,
17225,cachecacher,2017-01-01,PreCovid,4,3.0,"[[hotel, first, 0], [walk, close, 0], [airport, singapor, 3]]",2.0,,,0.125,,,1.0,,0.0,
17226,amir,2016-03-01,PreCovid,4,5.0,"[[airport, singapor, 3], [pool, swim, 3], [termin, singapor, 3]]",,,,,,,3.0,,0.0,
17227,Giaarul,2017-02-01,PreCovid,4,4.0,"[[place, choic, 0]]",1.0,,,0.0,,,,,,
17228,wazza71,2017-01-01,PreCovid,4,5.0,"[[hotel, great, 0], [day, next, 4]]",1.0,,1.0,0.8,,0.0,,,,
17229,VNewy,2017-02-01,PreCovid,4,4.0,"[[hotel, best, 0], [room, new, 2], [room, perfect, 2], [room, modern, 2]]",1.0,3.0,,1.0,0.4454545454545454,,,,,
17230,Bill S,2017-02-01,PreCovid,4,5.0,"[[termin, luggag, 3], [termin, straight, 3], [food, clean, 0], [food, good, 0]]",2.0,,,0.5333333333333333,,,2.0,,0.1,
17231,Shelby,2017-01-01,PreCovid,4,5.0,"[[day, next, 4], [room, groceri, 2], [day, decompress, 4]]",,1.0,2.0,,0.0,0.0,,,,
17232,scyang2,2017-02-01,PreCovid,4,1.0,[],,,,,,,,,,
17233,sammi999,2017-01-01,PreCovid,4,5.0,"[[walk, short, 0]]",1.0,,,0.0,,,,,,
17234,peter w,2017-02-01,PreCovid,4,5.0,"[[place, great, 0], [room, good, 2], [friendli, great, 1], [place, cheaper, 0]]",2.0,1.0,,0.4,0.7,,,1.0,,0.8
17235,brnrd_h,2017-02-01,PreCovid,4,4.0,"[[pool, swim, 3]]",,,,,,,1.0,,0.0,
17236,Jakob,2017-02-01,PreCovid,4,4.0,"[[walk, nice, 0], [breakfast, nice, 3], [room, nice, 2]]",1.0,1.0,,0.6,0.6,,1.0,,0.6,
17237,RianaDhaka,2017-01-01,PreCovid,4,5.0,"[[room, huge, 2], [staff, great, 1]]",,1.0,,,0.4000000000000001,,,1.0,,0.8
17238,Judy8688,2017-02-01,PreCovid,4,5.0,"[[place, normal, 0]]",1.0,,,0.15,,,,,,
17239,lisally2017,2017-02-01,PreCovid,4,1.0,"[[room, quiet, 2], [room, dark, 2], [help, middl, 1], [staff, grumpi, 1]]",,2.0,,,-0.075,,,2.0,,0.0
17240,JuliaGil,2016-03-01,PreCovid,4,5.0,"[[airport, close, 3]]",,,,,,,1.0,,0.0,
17241,Harry K,2017-01-01,PreCovid,4,4.0,"[[arriv, overnight, 4], [book, straight, 4], [room, first, 2], [night, good, 3]]",,1.0,2.0,,0.25,0.1,1.0,,0.7,
17242,SydneyLin2010,2017-02-01,PreCovid,4,5.0,"[[night, late, 3]]",,,,,,,1.0,,-0.3,
17243,IDC637,2017-01-01,PreCovid,4,5.0,"[[place, great, 0], [place, special, 0], [place, singapor, 0], [flight, earli, 4], [room, nice, 2], [night, good, 3]]",3.0,1.0,1.0,0.38571428571428573,0.6,0.0,1.0,,0.7,
17244,KC_Wilson_NZ,2017-01-01,PreCovid,4,5.0,"[[conveni, due, 3]]",,,,,,,1.0,,-0.125,
17245,Neverstoptravelling,2017-02-01,PreCovid,4,3.0,"[[singapor, fri, 0], [singapor, small, 0]]",2.0,,,-0.125,,,,,,
17246,jpltokyo,2017-02-01,PreCovid,4,4.0,"[[day, next, 4]]",,,1.0,,,0.0,,,,
17247,Local traveler,2017-02-01,PreCovid,4,4.0,"[[flight, singapor, 4], [room, high, 2], [room, singapor, 2]]",,2.0,1.0,,0.08,0.0,,,,
17248,Xanerin,2017-02-01,PreCovid,4,5.0,[],,,,,,,,,,
17249,FreoCreatures,2017-02-01,PreCovid,4,5.0,"[[stay, basic, 1], [check, late, 4], [room, total, 2]]",,1.0,1.0,,0.0,-0.3,,1.0,,0.0
17250,steveslats,2017-02-01,PreCovid,4,5.0,[],,,,,,,,,,
17251,Nahuel P,2017-01-01,PreCovid,4,5.0,"[[day, next, 4]]",,,1.0,,,0.0,,,,
17252,michaelkP3149LN,2017-02-01,PreCovid,4,5.0,"[[airport, singapor, 3], [staff, usual, 1], [staff, high, 1], [staff, standard, 1], [airport, first, 3], [airport, choic, 3]]",,,,,,,3.0,3.0,0.08333333333333333,-0.03
17253,Anthony Yeung,2017-01-01,PreCovid,4,5.0,"[[time, next, 1]]",,,,,,,,1.0,,0.0
17254,KACommuter,2017-01-01,PreCovid,4,3.0,"[[flight, earli, 4], [room, least, 2], [bed, good, 3], [check, express, 4]]",,1.0,2.0,,-0.3,0.0,1.0,,0.7,
17255,Travelingflamingo55,2017-02-01,PreCovid,4,5.0,"[[place, perfect, 0], [room, singapor, 2], [room, free, 2]]",1.0,2.0,,1.0,0.2,,,,,
17256,MikeF32,2017-02-01,PreCovid,4,5.0,"[[room, servic, 2], [room, great, 2], [room, 'well appoint', 2]]",,3.0,,,0.26666666666666666,,,,,
17257,MelJ722,2017-01-01,PreCovid,4,5.0,"[[room, great, 2], [pool, outdoor, 3], [pool, swim, 3]]",,1.0,,,0.8,,2.0,,0.0,
17258,Axel,2017-02-01,PreCovid,4,3.0,"[[room, modern, 2], [room, new, 2], [hotel, servic, 0], [hotel, good, 0], [hotel, new, 0], [hotel, modern, 0], [room, great, 2], [breakfast, good, 3], [hotel, cheaper, 0], [hotel, 'better cheaper', 0], [airport, fast, 3], [flight, next, 4]]",6.0,3.0,1.0,0.25606060606060604,0.37878787878787884,0.0,2.0,,0.44999999999999996,
17259,Chr C,2016-12-01,PreCovid,4,4.0,"[[room, narrow, 2], [room, nice, 2]]",,2.0,,,0.19999999999999998,,,,,
17260,Vincent N,2017-01-01,PreCovid,4,4.0,"[[book, final, 4], [room, new, 2], [room, best, 2]]",,2.0,1.0,,0.5681818181818181,0.0,,,,
17261,Legacy Traveler,2017-01-01,PreCovid,4,2.0,"[[room, pro, 2], [room, great, 2], [room, great, 2], [room, hallway, 2]]",,4.0,,,0.4,,,,,
17262,Hburn10,2017-01-01,PreCovid,4,3.0,"[[club, poor, 4]]",,,1.0,,,-0.4,,,,
17263,rinhelmi,2017-01-01,PreCovid,4,4.0,"[[room, newer, 2]]",,1.0,,,0.0,,,,,
17264,Deefaianz D,2017-01-01,PreCovid,4,5.0,"[[time, servic, 1], [day, new, 4]]",,,1.0,,,0.13636363636363635,,1.0,,0.0
17265,Andy H,2017-01-01,PreCovid,4,4.0,"[[room, nice, 2], [hotel, great, 0]]",1.0,1.0,,0.8,0.6,,,,,
17266,Cucup,2017-01-01,PreCovid,4,5.0,"[[bed, extra, 3]]",,,,,,,1.0,,0.0,
17267,janineor,2017-01-01,PreCovid,4,4.0,"[[room, outward, 2]]",,1.0,,,0.0,,,,,
17268,Michael D,2017-01-01,PreCovid,4,4.0,"[[stay, good, 1], [hotel, whole, 0], [staff, good, 1]]",1.0,,,0.2,,,,2.0,,0.7
17269,ivan m,2017-01-01,PreCovid,4,5.0,"[[room, select, 2], [room, nice, 2]]",,2.0,,,0.3,,,,,
17270,Keith G,2017-01-01,PreCovid,4,5.0,"[[food, cold, 0], [check, onward, 4]]",1.0,,1.0,-0.6,,0.0,,,,
17271,723shamirs,2016-12-01,PreCovid,4,5.0,"[[check, fast, 4]]",,,1.0,,,0.2,,,,
17272,Stumpy308,2017-01-01,PreCovid,4,5.0,"[[hotel, best, 0], [hotel, 'far best', 0], [check, late, 4]]",2.0,,1.0,0.775,,-0.3,,,,
17273,jelita,2016-12-01,PreCovid,4,5.0,"[[hotel, great, 0], [hotel, nice, 0], [room, nice, 2], [room, soundproof, 2], [shower, nice, 2]]",2.0,3.0,,0.7,0.39999999999999997,,,,,
17274,loulang,2017-01-01,PreCovid,4,5.0,"[[hotel, servic, 0], [hotel, great, 0], [hotel, great, 0], [hour, open, 4]]",3.0,,1.0,0.5333333333333333,,0.0,,,,
17275,leheath,2017-01-01,PreCovid,4,5.0,"[[hotel, great, 0], [shop, great, 0], [help, easi, 1]]",2.0,,,0.8,,,,1.0,,0.0
17276,Andre Joanisse,2016-10-01,PreCovid,4,4.0,"[[time, much, 1], [check, nice, 4], [time, much, 1]]",,,1.0,,,0.6,,2.0,,0.2
17277,767ianl,2017-01-01,PreCovid,4,4.0,"[[flight, red, 4], [day, next, 4], [room, standard, 2], [hotel, big, 0], [restaur, good, 0], [staff, short, 1], [flight, refresh, 4], [day, next, 4]]",2.0,1.0,4.0,0.35,0.0,0.0,,1.0,,0.0
17278,RandomFlair,2017-01-01,PreCovid,4,4.0,"[[airport, close, 3], [room, common, 2], [use, fast, 4], [check, express, 4]]",,1.0,2.0,,-0.3,0.1,1.0,,0.0,
17279,Singapore1704,2017-01-01,PreCovid,4,2.0,"[[hotel, quick, 0], [food, qualiti, 0]]",2.0,,,0.16666666666666666,,,,,,
17280,Australiafrancophile,2017-01-01,PreCovid,4,4.0,"[[room, huge, 2]]",,1.0,,,0.4000000000000001,,,,,
17281,haukyn,2017-01-01,PreCovid,4,5.0,"[[pool, great, 3], [pool, swim, 3]]",,,,,,,2.0,,0.4,
17282,Evangelia K,2017-01-01,PreCovid,4,5.0,"[[bathroom, great, 2]]",,1.0,,,0.8,,,,,
17283,Glenn R,2017-01-01,PreCovid,4,5.0,"[[place, great, 0], [bed, singapor, 3]]",1.0,,,0.8,,,1.0,,0.0,
17284,Prayanak,2017-01-01,PreCovid,4,4.0,"[[breakfast, light, 3], [hour, morn, 4]]",,,1.0,,,0.0,1.0,,0.4,
17285,Ron B,2017-01-01,PreCovid,4,5.0,"[[airport, top, 3]]",,,,,,,1.0,,0.5,
17286,Speedbirdaircrew,2017-01-01,PreCovid,4,5.0,"[[day, next, 4], [bed, standard, 3], [bathroom, modern, 2], [use, cool, 4]]",,1.0,2.0,,0.2,0.175,1.0,,0.0,
17287,cbroo,2017-01-01,PreCovid,4,3.0,"[[room, main, 2], [bed, nice, 3], [bathroom, good, 2], [night, full, 3], [room, unfortun, 2]]",,3.0,,,0.28888888888888886,,2.0,,0.475,
17288,Dave T,2017-01-01,PreCovid,4,5.0,"[[night, pricey, 3], [room, everi, 2], [shower, great, 2], [breakfast, good, 3], [breakfast, servic, 3], [breakfast, good, 3], [breakfast, select, 3]]",,2.0,,,0.4,,5.0,,0.27999999999999997,
17289,Global_academic,2017-01-01,PreCovid,4,2.0,"[[room, 'often time', 2], [book, normal, 4]]",,1.0,1.0,,0.0,0.15,,,,
17290,MarynissenM,2017-01-01,PreCovid,4,4.0,"[[airport, close, 3], [airport, good, 3], [airport, actual, 3], [breakfast, good, 3]]",,,,,,,4.0,,0.35,
17291,Hans-Smeets,2017-01-01,PreCovid,4,4.0,"[[hour, minimum, 4], [bed, clean, 3]]",,,1.0,,,0.0,1.0,,0.3666666666666667,
17292,simon f,2017-01-01,PreCovid,4,4.0,"[[hotel, great, 0], [airport, actual, 3], [pool, better, 3], [pool, great, 3], [howev, much, 2]]",1.0,1.0,,0.8,0.2,,3.0,,0.43333333333333335,
17293,D2867MJscottp,2016-06-01,PreCovid,4,4.0,"[[night, late, 3], [flight, long, 4], [airport, actual, 3], [room, cheaper, 2], [room, 'much cheaper', 2]]",,2.0,1.0,,0.1,-0.05,2.0,,-0.15,
17294,iriekh,2016-12-01,PreCovid,4,5.0,"[[hotel, great, 0], [pool, outdoor, 3]]",1.0,,,0.8,,,1.0,,0.0,
17295,Anuj,2016-11-01,PreCovid,4,5.0,"[[room, clean, 2]]",,1.0,,,0.3666666666666667,,,,,
17296,MartInG1956,2017-01-01,PreCovid,4,4.0,[],,,,,,,,,,
17297,Mrsingh,2017-01-01,PreCovid,4,5.0,"[[place, great, 0], [room, fast, 2], [bed, great, 3], [room, modern, 2], [food, good, 0]]",2.0,2.0,,0.75,0.2,,1.0,,0.8,
17298,tigerov,2017-01-01,PreCovid,4,4.0,"[[place, great, 0], [room, nice, 2]]",1.0,1.0,,0.8,0.6,,,,,
17299,Susan M,2017-01-01,PreCovid,4,5.0,"[[room, perfect, 2], [bathroom, great, 2], [night, least, 3], [place, ideal, 0]]",1.0,2.0,,0.9,0.9,,1.0,,-0.3,
17300,parklane44,2016-12-01,PreCovid,4,5.0,"[[room, warmli, 2], [flight, late, 4], [pool, swim, 3]]",,1.0,1.0,,0.0,-0.3,1.0,,0.0,
17301,MsPoppins5,2017-01-01,PreCovid,4,4.0,[],,,,,,,,,,
17302,LynnzC,2016-12-01,PreCovid,4,4.0,"[[club, quiet, 4], [breakfast, nice, 3], [check, late, 4], [time, first, 1], [room, warm, 2]]",,1.0,2.0,,0.6,-0.15,1.0,1.0,0.6,0.25
17303,Lea W,2017-01-01,PreCovid,4,5.0,"[[check, servic, 4], [bathroom, big, 2], [shower, good, 2], [comfort, big, 3], [servic, good, 1], [servic, good, 1]]",,2.0,1.0,,0.35,0.0,1.0,2.0,0.0,0.7
17304,Eric Yeo,2017-01-01,PreCovid,4,1.0,"[[hotel, servic, 0], [hotel, poor, 0], [floor, wrong, 2], [room, rude, 2]]",2.0,2.0,,-0.2,-0.4,,,,,
17305,nicole240186,2017-01-01,PreCovid,4,1.0,"[[servic, terribl, 1], [day, notic, 4]]",,,1.0,,,0.0,,1.0,,0.0
17306,p5t5r85nry,2017-01-01,PreCovid,4,4.0,"[[hotel, quick, 0]]",1.0,,,0.3333333333333333,,,,,,
17307,Vikstar68,2016-12-01,PreCovid,4,5.0,"[[flight, onward, 4], [bed, morn, 3], [pool, great, 3]]",,,1.0,,,0.0,2.0,,0.4,
17308,Susangermany,2017-01-01,PreCovid,4,5.0,"[[room, best, 2], [room, servic, 2], [hotel, servic, 0], [room, modern, 2], [bathroom, good, 2], [bathroom, best, 2], [time, next, 1]]",1.0,5.0,,0.0,0.58,,,1.0,,0.0
17309,Adrian H,2016-12-01,PreCovid,4,4.0,"[[time, second, 1], [room, morn, 2], [hour, morn, 4]]",,1.0,1.0,,0.0,0.0,,1.0,,0.0
17310,Anna G,2016-09-01,PreCovid,4,5.0,"[[place, humid, 0], [room, kid, 2], [room, great, 2]]",1.0,2.0,,0.0,0.4,,,,,
17311,AndyDave,2017-01-01,PreCovid,4,5.0,"[[room, servic, 2], [room, great, 2], [day, late, 4], [pool, swim, 3]]",,2.0,1.0,,0.4,-0.3,1.0,,0.0,
17312,patricklR713NI,2016-12-01,PreCovid,4,4.0,"[[place, singapor, 0], [room, new, 2], [hotel, clean, 0], [hotel, best, 0], [flight, earli, 4], [airport, close, 3]]",3.0,1.0,1.0,0.45555555555555555,0.13636363636363635,0.0,1.0,,0.0,
17313,nitasha g,2017-01-01,PreCovid,4,5.0,"[[need, extra, 2]]",,1.0,,,0.0,,,,,
17314,Janine O,2017-01-01,PreCovid,4,4.0,"[[hotel, great, 0], [book, 'almost star', 4], [room, much, 2], [bathroom, huge, 2]]",1.0,2.0,1.0,0.8,0.30000000000000004,0.0,,,,
17315,SteveTraveller1255,2017-01-01,PreCovid,4,5.0,[],,,,,,,,,,
17316,Prescilla,2017-01-01,PreCovid,4,2.0,"[[stay, nice, 1], [stay, probabl, 1]]",,,,,,,,2.0,,0.3
17317,Ary L,2017-01-01,PreCovid,4,5.0,"[[hotel, best, 0], [room, seamless, 2], [room, super, 2], [check, quiet, 4], [check, 'super quiet', 4]]",1.0,2.0,2.0,1.0,0.21666666666666667,0.08333333333333333,,,,
17318,macfod,2017-01-01,PreCovid,4,3.0,"[[room, close, 2], [room, good, 2], [food, clean, 0], [check, small, 4], [check, slow, 4], [place, cheap, 0]]",2.0,2.0,2.0,0.38333333333333336,0.35,-0.275,,,,
17319,OmanRob,2017-01-01,PreCovid,4,5.0,"[[room, swift, 2], [check, great, 4], [check, slick, 4]]",,1.0,2.0,,0.0,0.275,,,,
17320,snaem85,2016-12-01,PreCovid,4,4.0,"[[room, actual, 2], [room, major, 2]]",,2.0,,,0.03125,,,,,
17321,alyssar284,2016-12-01,PreCovid,4,5.0,"[[day, late, 4], [day, next, 4], [airport, singapor, 3]]",,,2.0,,,-0.15,1.0,,0.0,
17322,CBMelbourne,2016-12-01,PreCovid,4,5.0,[],,,,,,,,,,
17323,VMaister,2016-12-01,PreCovid,4,5.0,"[[room, luxuri, 2]]",,1.0,,,0.0,,,,,
17324,Carrie,2016-10-01,PreCovid,4,5.0,"[[stay, great, 1], [room, servic, 2]]",,1.0,,,0.0,,,1.0,,0.8
17325,mojoFCH2020,2017-01-01,PreCovid,4,4.0,"[[restaur, great, 0]]",1.0,,,0.8,,,,,,
17326,D R,2017-01-01,PreCovid,4,5.0,[],,,,,,,,,,
17327,RvMDl,2016-12-01,PreCovid,4,3.0,"[[shower, nice, 2], [hotel, 'somehow transit', 0], [room, pro, 2], [room, clean, 2]]",1.0,3.0,,0.0,0.32222222222222224,,,,,
