,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_1,count_topic_0,count_topic_3,topic_1,topic_0,topic_3,count_topic_2,topic_2,count_topic_4,topic_4
77,Brian W,2020-02-01,Covid,3,5.0,"[[time, second, 2], [room, easi, 0], [room, smallish, 0], [day, everi, 2], [breakfast, usual, 4]]",,2.0,,,0.0,,2.0,0.0,1.0,-0.25
78,Feranie,2020-02-01,Covid,3,5.0,"[[bathroom, okay, 0], [bathroom, 'still okay', 0], [area, refriger, 4], [place, best, 1]]",1.0,2.0,,1.0,0.5,,,,1.0,0.0
79,Drrowena,2019-10-01,PreCovid,3,3.0,"[[night, good, 4]]",,,,,,,,,1.0,0.7
80,anngiesoo,2020-01-01,PreCovid,3,4.0,"[[room, good, 0], [shower, mainten, 0], [shower, good, 0], [time, last, 2]]",,3.0,,,0.4666666666666666,,1.0,0.0,,
81,arcadian7,2019-12-01,PreCovid,3,4.0,"[[night, spent, 4]]",,,,,,,,,1.0,-0.1
82,Melbourne Traveller,2020-02-01,Covid,3,4.0,"[[check, servic, 2], [room, singapor, 0], [room, great, 0], [day, next, 2]]",,2.0,,,0.4,,2.0,0.0,,
83,adele2208,2020-02-01,Covid,3,4.0,[],,,,,,,,,,
84,henc75,2020-02-01,Covid,3,5.0,"[[room, precinct, 0], [size, great, 0], [size, good, 0], [bed, clean, 0]]",,4.0,,,0.4666666666666667,,,,,
85,SurinderAnand,2020-02-01,Covid,3,4.0,"[[place, popular, 1], [breakfast, singapor, 4]]",1.0,,,0.6,,,,,1.0,0.0
86,walaipornkongana2020,2020-01-01,PreCovid,3,4.0,"[[hotel, good, 1], [room, clean, 0]]",1.0,1.0,,0.7,0.3666666666666667,,,,,
87,Barry Webster,2020-01-01,PreCovid,3,5.0,"[[hotel, nice, 1], [comfort, clean, 1]]",2.0,,,0.48333333333333334,,,,,,
88,Helmut B,2020-01-01,PreCovid,3,4.0,[],,,,,,,,,,
89,MJH46,2020-01-01,PreCovid,3,4.0,"[[friendli, ideal, 1], [door, next, 0], [door, 'right next', 0]]",1.0,2.0,,0.9,0.07142857142857142,,,,,
90,swin89,2020-01-01,PreCovid,3,3.0,"[[breakfast, nice, 4], [room, incid, 0], [room, open, 0]]",,2.0,,,0.0,,,,1.0,0.6
91,kerv26,2020-01-01,PreCovid,3,1.0,[],,,,,,,,,,
92,Relax761867,2020-01-01,PreCovid,3,3.0,"[[time, first, 2]]",,,,,,,1.0,0.25,,
93,Clayton Fynn,2020-01-01,PreCovid,3,2.0,[],,,,,,,,,,
94,Prem N,2019-07-01,PreCovid,3,5.0,"[[place, long, 1], [night, late, 4], [help, singapor, 1], [place, great, 1]]",3.0,,,0.25,,,,,1.0,-0.3
95,Diana erna,2020-01-01,PreCovid,3,5.0,"[[area, good, 4], [area, good, 4]]",,,,,,,,,2.0,0.7
96,Marina1614,2020-01-01,PreCovid,3,5.0,[],,,,,,,,,,
97,Vacationer324279,2020-01-01,PreCovid,3,5.0,"[[time, next, 2]]",,,,,,,1.0,0.0,,
98,T3202EGronald,2019-12-01,PreCovid,3,2.0,"[[room, experi, 0], [stay, choic, 1], [phone, mercur, 3], [night, free, 4], [night, free, 4]]",1.0,1.0,1.0,0.0,0.0,0.0,,,2.0,0.4
99,Joyssoul,2019-12-01,PreCovid,3,5.0,"[[room, neat, 0], [room, tidi, 0]]",,2.0,,,0.0,,,,,
100,natalya l,2019-12-01,PreCovid,3,5.0,"[[hotel, front, 1], [hotel, 'right front', 1], [water, cold, 0]]",2.0,1.0,,0.14285714285714285,-0.6,,,,,
101,Jason C,2019-12-01,PreCovid,3,3.0,"[[room, good, 0], [bathroom, small, 0], [locat, clean, 4], [locat, tidi, 4], [locat, servic, 4], [locat, good, 4]]",,2.0,,,0.22499999999999998,,,,4.0,0.26666666666666666
102,Stephen C,2020-01-01,PreCovid,3,4.0,[],,,,,,,,,,
103,Jan-Kristof H.,2019-12-01,PreCovid,3,2.0,"[[day, first, 2], [room, 'close paid', 0], [room, normal, 0]]",,2.0,,,0.075,,1.0,0.25,,
104,Peter T,2019-12-01,PreCovid,3,3.0,"[[hotel, basic, 1], [hotel, close, 1]]",2.0,,,0.0,,,,,,
105,Jessica L,2020-01-01,PreCovid,3,5.0,"[[place, great, 1], [place, select, 1], [size, good, 0]]",2.0,1.0,,0.4,0.7,,,,,
106,Explorer07911050999,2019-12-01,PreCovid,3,5.0,"[[room, nice, 0], [room, clean, 0], [walk, short, 4]]",,2.0,,,0.48333333333333334,,,,1.0,0.0
107,BackPacker580323,2019-12-01,PreCovid,3,4.0,"[[hotel, good, 1], [room, good, 0], [time, good, 2]]",1.0,1.0,,0.7,0.7,,1.0,0.7,,
